Date,interest_rate
1928-01,0.9949037285749989
1928-02,0.9823563192187361
1928-03,1.1170336286776825
1928-04,1.0243775568784104
1928-05,1.0126582278481013
1928-06,0.9569999694824218
1928-07,1.0151515634678747
1928-08,1.0741122239547278
1928-09,1.0129371604962982
1928-10,1.0255440364767354
1928-11,1.1199262151693334
1928-12,1.002883018650931
1929-01,1.057084162951645
1929-02,0.9941725089407895
1929-03,0.9976553549986472
1929-04,1.0160595313899297
1929-05,0.9572089210679005
1929-06,1.1039065618861659
1929-07,1.0536300372687992
1929-08,1.097991689956508
1929-09,0.9511195433045745
1929-10,0.8007294343737363
1929-11,0.8662526048340824
1929-12,1.0253346407606418
1930-01,1.0624708673625363
1930-02,1.0215006472766008
1930-03,1.0373710870371167
1930-04,1.0310559011116722
1930-05,0.9835341424219544
1930-06,0.8354430083989541
1930-07,1.036656893135894
1930-08,1.0075436945623386
1930-09,0.8699110632910375
1930-10,0.9112426247989794
1930-11,0.9669420687345823
1930-12,0.936507993805658
1931-01,1.055410715320386
1931-02,1.1136504071582474
1931-03,0.9256794175509708
1931-04,0.904134192314448
1931-05,0.8628230832410416
1931-06,1.139016851175539
1931-07,0.9258260022165372
1931-08,1.0094683262035815
1931-09,0.7005772206833386
1931-10,1.074150387662224
1931-11,0.9108341056601621
1931-12,0.8547368300588507
1932-01,0.9778325331434128
1932-02,1.044080592205322
1932-03,0.88178528062931
1932-04,0.7975376155049964
1932-05,0.7667238162415155
1932-06,0.9910514622526834
1932-07,1.3611739150043654
1932-08,1.391376459602049
1932-09,0.9630512029879218
1932-10,0.8613861514685051
1932-11,0.9410919762694042
1932-12,1.0564885305014886
1933-01,1.002890170622256
1933-02,0.8155619309431241
1933-03,1.0335689156082455
1933-04,1.338461547239606
1933-05,1.2311622525227304
1933-06,1.131742682454263
1933-07,0.9120073279950881
1933-08,1.1145729010226935
1933-09,0.8764652960586851
1933-10,0.9218106781889882
1933-11,1.1026785795063692
1933-12,1.009109327079495
1934-01,1.1203610608952121
1934-02,0.9632945528548159
1934-03,0.986988815953092
1934-04,0.9849341008346266
1934-05,0.9187380135401694
1934-06,1.0208117346602077
1934-07,0.8848114101828887
1934-08,1.0541473844274218
1934-09,0.992349759809557
1934-10,0.9702643715464754
1934-11,1.0828603300189275
1934-12,0.9958071318644682
1935-01,0.9578947769968134
1935-02,0.9604394950263266
1935-03,0.9668192254636723
1935-04,1.0982248452592849
1935-05,1.0323276076904382
1935-06,1.0688935128046209
1935-07,1.082031266734703
1935-08,1.014440419540959
1935-09,1.0311388246082596
1935-10,1.075064700095351
1935-11,1.0385232376217322
1935-12,1.0378671360650822
1936-01,1.0655249511872145
1936-02,1.020265545307426
1936-03,1.021917786744058
1936-04,0.9229222779725396
1936-05,1.0457515715194767
1936-06,1.030555593452337
1936-07,1.0680593139148793
1936-08,1.0088327688504104
1936-09,1.001250810384613
1936-10,1.0762023295386112
1936-11,1.002901981760743
1936-12,0.9942129411171257
1937-01,1.0343422667117266
1937-02,1.0163195836076646
1937-03,0.9922480955820376
1937-04,0.91685269169785
1937-05,0.9896530691943815
1937-06,0.9471094343022218
1937-07,1.0889610956603482
1937-08,0.9564699151872489
1937-09,0.8578553269009868
1937-10,0.8975290825611644
1937-11,0.8995950861140853
1937-12,0.94959500600832
1938-01,1.0132700840869544
1938-02,1.060804546091599
1938-03,0.7495590728065575
1938-04,1.1505882038789637
1938-05,0.9478528334220536
1938-06,1.2470334248942934
1938-07,1.0666089512231078
1938-08,0.9781022298653672
1938-09,1.0149253188423344
1938-10,1.0759804185103201
1938-11,0.9665906961648679
1938-12,1.0322074482191537
1939-01,0.9360730494185454
1939-02,1.0325202936851643
1939-03,0.8645669060739668
1939-04,0.9954463352326913
1939-05,1.0612991818469277
1939-06,0.9362068361674725
1939-07,1.1086556484787973
1939-08,0.9285714568602966
1939-09,1.1440071209955063
1939-10,1.0031274403418553
1939-11,0.9508963274990467
1939-12,1.0213114945038264
1940-01,0.9670947153967198
1940-02,1.0066389977128436
1940-03,1.004122027226969
1940-04,1.000820958535056
1940-05,0.7604594566747465
1940-06,1.0765910517165107
1940-07,1.0310621677190213
1940-08,1.0204081670481517
1940-09,1.0152380807059151
1940-10,1.0393996324864776
1940-11,0.9539710981594258
1940-12,1.0009460954749823
1941-01,0.9517958192287785
1941-02,0.9851043075396149
1941-03,1.0040322541880433
1941-04,0.9347389943734173
1941-05,1.0075187638742449
1941-06,1.050106637664665
1941-07,1.0548223290294385
1941-08,0.9894128386220645
1941-09,0.9922179060521306
1941-10,0.9313725664358058
1941-11,0.9599999879535875
1941-12,0.9528508431390817
1942-01,1.0184120608529843
1942-02,0.9706214443305303
1942-03,0.9324796375549168
1942-04,0.9563045728503574
1942-05,1.0639686398014365
1942-06,1.0184049790460776
1942-07,1.0313253280610848
1942-08,1.0070092830608843
1942-09,1.0266821924552412
1942-10,1.057627034262661
1942-11,0.9925213998513043
1942-12,1.051668514303729
1943-01,1.0685771843630998
1943-02,1.0507663513360073
1943-03,1.0556061660737281
1943-04,1.0008635776293369
1943-05,1.0396893901717732
1943-06,1.0248962809947115
1943-07,0.9595141712910217
1943-08,0.9957805747573603
1943-09,1.0237287905462105
1943-10,0.9859271459132766
1943-11,0.925272930222428
1943-12,1.0589836289954366
1944-01,1.0154241905740367
1944-02,0.9974682965671106
1944-03,1.0169205387566151
1944-04,0.9875207515397635
1944-05,1.0404381213595972
1944-06,1.0510120762191935
1944-07,0.9791988048065188
1944-08,1.0086545756370653
1944-09,0.9937597561926345
